gene_id	condition	log2fold_change	p_value	p_value_corrected	base_mean
100500918	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
407019	Experimental	0.5702810970999627	2.4454542846510314e-05	0.001070565497074531	1.3333333333333333
158314	Experimental	0.9656710600171095	1.2422162132118577e-05	0.001070565497074531	1.066666666666667
105374758	Experimental	0.5702810970999627	2.4454542846510314e-05	0.001070565497074531	1.3333333333333333
110806283	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
100033819	Experimental	0.8957979495603211	2.862925305819487e-05	0.001070565497074531	1.6666666666666667
110091768	Experimental	0.9656710600171095	1.2422162132118577e-05	0.001070565497074531	1.066666666666667
340508	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
1583	Experimental	0.0199085786747635	1.983409196053043e-05	0.001070565497074531	1.0333333333333337
53358	Experimental	1.5253754680374267	2.5661054479210192e-05	0.001070565497074531	2.0333333333333337
1143	Experimental	0.9656710600171095	1.2422162132118577e-05	0.001070565497074531	1.066666666666667
101927418	Experimental	1.6675751636508083	1.1562216699022013e-05	0.001070565497074531	1.4000000000000004
9568	Experimental	0.53074629206779	1.528524859485032e-05	0.001070565497074531	1.0333333333333334
9514	Experimental	0.9656710600171095	1.2422162132118577e-05	0.001070565497074531	1.066666666666667
105374808	Experimental	0.019908578674763817	1.9834091960530425e-05	0.001070565497074531	1.0333333333333334
107985770	Experimental	0.4300717937258624	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
283677	Experimental	0.019908578674763817	1.9834091960530425e-05	0.001070565497074531	1.0333333333333334
4915	Experimental	0.4300717937258624	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
104355220	Experimental	3.696822235752472	9.989405433924091e-06	0.001070565497074531	4.066666666666667
2687	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
101929586	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
102723989	Experimental	0.5702810970999627	2.4454542846510314e-05	0.001070565497074531	1.3333333333333333
105372994	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
107984749	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
29850	Experimental	1.6675751636508083	1.1562216699022013e-05	0.001070565497074531	1.4000000000000004
158471	Experimental	0.0199085786747635	1.983409196053043e-05	0.001070565497074531	1.0333333333333337
3196	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
100874123	Experimental	0.019908578674763817	1.9834091960530425e-05	0.001070565497074531	1.0333333333333334
100507404	Experimental	0.8957979495603211	2.862925305819487e-05	0.001070565497074531	1.6666666666666667
4046	Experimental	0.4300717937258624	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
79315	Experimental	0.8957979495603211	2.862925305819487e-05	0.001070565497074531	1.6666666666666667
100506328	Experimental	0.0199085786747635	1.983409196053043e-05	0.001070565497074531	1.0333333333333337
105373283	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
6549	Experimental	0.43007179372586263	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
641384	Experimental	0.53074629206779	1.528524859485032e-05	0.001070565497074531	1.0333333333333334
105378828	Experimental	0.5307462920677907	1.5285248594850312e-05	0.001070565497074531	1.0333333333333334
105369299	Experimental	0.5702810970999622	2.445454284651032e-05	0.001070565497074531	1.3333333333333337
105372768	Experimental	0.9656710600171095	1.2422162132118577e-05	0.001070565497074531	1.066666666666667
105378841	Experimental	0.0199085786747635	1.983409196053043e-05	0.001070565497074531	1.0333333333333337
10278	Experimental	0.4300717937258624	2.7738082368720966e-05	0.001070565497074531	1.3666666666666671
